datetime,AAPL,cash,commission,total,returns,equity_curve,drawdown
2009-12-08,2712.0,99029.5,6.5,101741.5,0.000127791130313,1.017415,0.009236
2009-12-09,2826.0,99029.5,6.5,101855.5,0.00112048672371,1.018555,0.008096
2009-12-10,2806.0,99029.5,6.5,101835.5,-0.000196356603227,1.018355,0.008296
2009-12-11,2781.0,99029.5,6.5,101810.5,-0.000245493958394,1.018105,0.008546
2009-12-14,2814.0,99029.5,6.5,101843.5,0.000324131597429,1.018435,0.008216
2009-12-15,2774.0,99029.5,6.5,101803.5,-0.000392759479005,1.018035,0.008616
2009-12-16,2786.0,99029.5,6.5,101815.5,0.000117874139887,1.018155,0.008496
2009-12-17,2741.0,99029.5,6.5,101770.5,-0.000441975927045,1.017705,0.008946
2009-12-18,2792.0,99029.5,6.5,101821.5,0.000501127536958,1.018215,0.008436
2009-12-21,2832.0,99029.5,6.5,101861.5,0.000392844340341,1.018615,0.008036
2009-12-22,2862.0,99029.5,6.5,101891.5,0.000294517555701,1.018915,0.007736
2009-12-23,2887.0,99029.5,6.5,101916.5,0.000245359033874,1.019165,0.007486
2009-12-24,2986.0,99029.5,6.5,102015.5,0.000971383436441,1.020155,0.006496
2009-12-28,3023.0,99029.5,6.5,102052.5,0.000362689983385,1.020525,0.006126
2009-12-29,2987.0,99029.5,6.5,102016.5,-0.000352759609025,1.020165,0.006486
2009-12-30,3023.0,99029.5,6.5,102052.5,0.000352884092279,1.020525,0.006126
2009-12-31,3010.0,99029.5,6.5,102039.5,-0.00012738541437,1.020395,0.006256
2010-01-04,3057.0,99029.5,6.5,102086.5,0.000460605941817,1.020865,0.005786
2010-01-05,3063.0,99029.5,6.5,102092.5,5.87736870203e-05,1.020925,0.005726
2010-01-06,3014.0,99029.5,6.5,102043.5,-0.000479956901829,1.020435,0.006216
2010-01-07,3008.0,99029.5,6.5,102037.5,-5.87984536007e-05,1.020375,0.006276
2010-01-08,3028.0,99029.5,6.5,102057.5,0.000196006370207,1.020575,0.006076
2010-01-11,3002.0,99029.5,6.5,102031.5,-0.00025475834701,1.020315,0.006336
2010-01-12,2967.0,99029.5,6.5,101996.5,-0.000343031318759,1.019965,0.006686
2010-01-13,3009.0,99029.5,6.5,102038.5,0.000411778835548,1.020385,0.006266
2010-01-14,2992.0,99029.5,6.5,102021.5,-0.000166603781906,1.020215,0.006436
2010-01-15,2942.0,99029.5,6.5,101971.5,-0.000490092774562,1.019715,0.006936
2010-01-19,3072.0,99029.5,6.5,102101.5,0.00127486601648,1.021015,0.005636
2010-01-20,3025.0,99029.5,6.5,102054.5,-0.000460326243983,1.020545,0.006106
2010-01-21,2972.0,99029.5,6.5,102001.5,-0.000519330357799,1.020015,0.006636
2010-01-22,2825.0,99029.5,6.5,101854.5,-0.00144115527713,1.018545,0.008106
2010-01-25,2901.0,99029.5,6.5,101930.5,0.000746162417959,1.019305,0.007346
2010-01-26,2942.0,99029.5,6.5,101971.5,0.000402234856103,1.019715,0.006936
2010-01-27,2970.0,99029.5,6.5,101999.5,0.000274586526628,1.019995,0.006656
2010-01-28,2847.0,99029.5,6.5,101876.5,-0.00120588826416,1.018765,0.007886
2010-01-29,2744.0,99029.5,6.5,101773.5,-0.00101102805848,1.017735,0.008916
2010-02-01,2782.0,99029.5,6.5,101811.5,0.00037337813871,1.018115,0.008536
2010-02-02,2798.0,99029.5,6.5,101827.5,0.00015715317032,1.018275,0.008376
2010-02-03,2846.0,99029.5,6.5,101875.5,0.000471385431244,1.018755,0.007896
2010-02-04,2744.0,99029.5,6.5,101773.5,-0.00100122207989,1.017735,0.008916
2010-02-05,2792.0,99029.5,6.5,101821.5,0.000471635543634,1.018215,0.008436
2010-02-08,2773.0,99029.5,6.5,101802.5,-0.000186601061662,1.018025,0.008626
2010-02-09,2803.0,99029.5,6.5,101832.5,0.000294688244395,1.018325,0.008326
2010-02-10,2787.0,99029.5,6.5,101816.5,-0.000157120762036,1.018165,0.008486
2010-02-11,2838.0,99029.5,6.5,101867.5,0.000500901130956,1.018675,0.007976
2010-02-12,2863.0,99029.5,6.5,101892.5,0.000245416840503,1.018925,0.007726
2010-02-16,2906.0,99029.5,6.5,101935.5,0.000422013396472,1.019355,0.007296
2010-02-17,2894.0,99029.5,6.5,101923.5,-0.00011772150036,1.019235,0.007416
2010-02-18,2899.0,99029.5,6.5,101928.5,4.90564001432e-05,1.019285,0.007366
2010-02-19,2881.0,99029.5,6.5,101910.5,-0.000176594377431,1.019105,0.007546
2010-02-22,2863.0,99029.5,6.5,101892.5,-0.000176625568513,1.018925,0.007726
2010-02-23,2815.0,99029.5,6.5,101844.5,-0.000471084721643,1.018445,0.008206
2010-02-24,2866.0,99029.5,6.5,101895.5,0.000500763418741,1.018955,0.007696
2010-02-25,2886.0,99029.5,6.5,101915.5,0.000196279521667,1.019155,0.007496
2010-02-26,2923.0,99029.5,6.5,101952.5,0.000363045856617,1.019525,0.007126
2010-03-01,2986.0,99029.5,6.5,102015.5,0.000617934822589,1.020155,0.006496
2010-03-02,2984.0,99029.5,6.5,102013.5,-1.96048639668e-05,1.020135,0.006516
2010-03-03,2990.0,99029.5,6.5,102019.5,5.8815744975e-05,1.020195,0.006456
2010-03-04,3010.0,99029.5,6.5,102039.5,0.000196040952955,1.020395,0.006256
2010-03-05,3128.0,99029.5,6.5,102157.5,0.00115641491775,1.021575,0.005076
2010-03-08,3130.0,99029.5,6.5,102159.5,1.95776129996e-05,1.021595,0.005056
2010-03-09,3186.0,99029.5,6.5,102215.5,0.000548162432275,1.022155,0.004496
2010-03-10,3212.0,99029.5,6.5,102241.5,0.000254364553321,1.022415,0.004236
2010-03-11,3221.0,99029.5,6.5,102250.5,8.80268775398e-05,1.022505,0.004146
2010-03-12,3237.0,99029.5,6.5,102266.5,0.000156478452428,1.022665,0.003986
2010-03-15,3198.0,99029.5,6.5,102227.5,-0.00038135655371,1.022275,0.004376
2010-03-16,3206.0,99029.5,6.5,102235.5,7.82568291311e-05,1.022355,0.004296
2010-03-17,3202.0,99029.5,6.5,102231.5,-3.91253527395e-05,1.022315,0.004336
2010-03-18,3209.0,99029.5,6.5,102238.5,6.84720462871e-05,1.022385,0.004266
2010-03-19,3175.0,99029.5,6.5,102204.5,-0.000332555739765,1.022045,0.004606
